,iterations,N,np,run time,suite
0,100,10,1,0.0120639801025,trilinos
1,100,10,1,0.00934195518494,pysparse
2,100,10,2,0.010890007019,trilinos
3,100,10,2,,pysparse
4,100,10,3,0.0102288722992,trilinos
5,100,10,3,,pysparse
6,100,10,4,0.0105559825897,trilinos
7,100,10,4,,pysparse
8,100,10,5,0.0157408714294,trilinos
9,100,10,5,,pysparse
10,100,10,6,0.0160298347473,trilinos
11,100,10,6,,pysparse
12,100,10,7,0.0162401199341,trilinos
13,100,10,7,,pysparse
14,100,10,8,0.017165184021,trilinos
15,100,10,8,,pysparse
16,200,10,1,0.0136778354645,trilinos
17,200,10,1,0.0103299617767,pysparse
18,200,10,2,0.0121040344238,trilinos
19,200,10,2,,pysparse
20,200,10,3,0.0112550258636,trilinos
21,200,10,3,,pysparse
22,200,10,4,0.0111119747162,trilinos
23,200,10,4,,pysparse
24,200,10,5,0.0170118808746,trilinos
25,200,10,5,,pysparse
26,200,10,6,0.0173630714417,trilinos
27,200,10,6,,pysparse
28,200,10,7,0.0175290107727,trilinos
29,200,10,7,,pysparse
30,200,10,8,0.0187799930573,trilinos
31,200,10,8,,pysparse
32,400,10,1,0.016047000885,trilinos
33,400,10,1,0.0101869106293,pysparse
34,400,10,2,0.014317035675,trilinos
35,400,10,2,,pysparse
36,400,10,3,0.0134239196777,trilinos
37,400,10,3,,pysparse
38,400,10,4,0.013335943222,trilinos
39,400,10,4,,pysparse
40,400,10,5,0.0206680297852,trilinos
41,400,10,5,,pysparse
42,400,10,6,0.0204999446869,trilinos
43,400,10,6,,pysparse
44,400,10,7,0.021194934845,trilinos
45,400,10,7,,pysparse
46,400,10,8,0.0210869312286,trilinos
47,400,10,8,,pysparse
48,800,10,1,0.0211179256439,trilinos
49,800,10,1,0.0102770328522,pysparse
50,800,10,2,0.0187420845032,trilinos
51,800,10,2,,pysparse
52,800,10,3,0.0173799991608,trilinos
53,800,10,3,,pysparse
54,800,10,4,0.0169880390167,trilinos
55,800,10,4,,pysparse
56,800,10,5,0.0263330936432,trilinos
57,800,10,5,,pysparse
58,800,10,6,0.0270340442657,trilinos
59,800,10,6,,pysparse
60,800,10,7,0.0282831192017,trilinos
61,800,10,7,,pysparse
62,800,10,8,0.0279688835144,trilinos
63,800,10,8,,pysparse
64,100,20,1,0.0481848716736,trilinos
65,100,20,1,0.0355150699615,pysparse
66,100,20,2,0.0334599018097,trilinos
67,100,20,2,,pysparse
68,100,20,3,0.0266840457916,trilinos
69,100,20,3,,pysparse
70,100,20,4,0.0233368873596,trilinos
71,100,20,4,,pysparse
72,100,20,5,0.033390045166,trilinos
73,100,20,5,,pysparse
74,100,20,6,0.0313010215759,trilinos
75,100,20,6,,pysparse
76,100,20,7,0.0293819904327,trilinos
77,100,20,7,,pysparse
78,100,20,8,0.0297720432281,trilinos
79,100,20,8,,pysparse
80,200,20,1,0.0594811439514,trilinos
81,200,20,1,0.0557799339294,pysparse
82,200,20,2,0.0395369529724,trilinos
83,200,20,2,,pysparse
84,200,20,3,0.0316359996796,trilinos
85,200,20,3,,pysparse
86,200,20,4,0.0272381305695,trilinos
87,200,20,4,,pysparse
88,200,20,5,0.0390059947968,trilinos
89,200,20,5,,pysparse
90,200,20,6,0.0364589691162,trilinos
91,200,20,6,,pysparse
92,200,20,7,0.0340700149536,trilinos
93,200,20,7,,pysparse
94,200,20,8,0.0338599681854,trilinos
95,200,20,8,,pysparse
96,400,20,1,0.0809011459351,trilinos
97,400,20,1,0.0729730129242,pysparse
98,400,20,2,0.0527930259705,trilinos
99,400,20,2,,pysparse
100,400,20,3,0.0413620471954,trilinos
101,400,20,3,,pysparse
102,400,20,4,0.0349690914154,trilinos
103,400,20,4,,pysparse
104,400,20,5,0.0500340461731,trilinos
105,400,20,5,,pysparse
106,400,20,6,0.0460059642792,trilinos
107,400,20,6,,pysparse
108,400,20,7,0.0435709953308,trilinos
109,400,20,7,,pysparse
110,400,20,8,0.0422768592834,trilinos
111,400,20,8,,pysparse
112,800,20,1,0.126441955566,trilinos
113,800,20,1,0.0729949474335,pysparse
114,800,20,2,0.0792419910431,trilinos
115,800,20,2,,pysparse
116,800,20,3,0.0606360435486,trilinos
117,800,20,3,,pysparse
118,800,20,4,0.0502672195435,trilinos
119,800,20,4,,pysparse
120,800,20,5,0.0707108974457,trilinos
121,800,20,5,,pysparse
122,800,20,6,0.0650289058685,trilinos
123,800,20,6,,pysparse
124,800,20,7,0.0622720718384,trilinos
125,800,20,7,,pysparse
126,800,20,8,0.0600800514221,trilinos
127,800,20,8,,pysparse
128,100,30,1,0.158879995346,trilinos
129,100,30,1,0.110157012939,pysparse
130,100,30,2,0.100717067719,trilinos
131,100,30,2,,pysparse
132,100,30,3,0.0769379138947,trilinos
133,100,30,3,,pysparse
134,100,30,4,0.0663771629333,trilinos
135,100,30,4,,pysparse
136,100,30,5,0.084095954895,trilinos
137,100,30,5,,pysparse
138,100,30,6,0.0773391723633,trilinos
139,100,30,6,,pysparse
140,100,30,7,0.0710229873657,trilinos
141,100,30,7,,pysparse
142,100,30,8,0.071802854538,trilinos
143,100,30,8,,pysparse
144,200,30,1,0.195303916931,trilinos
145,200,30,1,0.177538156509,pysparse
146,200,30,2,0.122865915298,trilinos
147,200,30,2,,pysparse
148,200,30,3,0.091835975647,trilinos
149,200,30,3,,pysparse
150,200,30,4,0.0779409408569,trilinos
151,200,30,4,,pysparse
152,200,30,5,0.0999600887299,trilinos
153,200,30,5,,pysparse
154,200,30,6,0.0889961719513,trilinos
155,200,30,6,,pysparse
156,200,30,7,0.0825788974762,trilinos
157,200,30,7,,pysparse
158,200,30,8,0.0826470851898,trilinos
159,200,30,8,,pysparse
160,400,30,1,0.271567821503,trilinos
161,400,30,1,0.308025121689,pysparse
162,400,30,2,0.165261983871,trilinos
163,400,30,2,,pysparse
164,400,30,3,0.122486114502,trilinos
165,400,30,3,,pysparse
166,400,30,4,0.102005958557,trilinos
167,400,30,4,,pysparse
168,400,30,5,0.13120007515,trilinos
169,400,30,5,,pysparse
170,400,30,6,0.116310834885,trilinos
171,400,30,6,,pysparse
172,400,30,7,0.107459068298,trilinos
173,400,30,7,,pysparse
174,400,30,8,0.107660055161,trilinos
175,400,30,8,,pysparse
176,800,30,1,0.424165964127,trilinos
177,800,30,1,0.30980014801,pysparse
178,800,30,2,0.250267028809,trilinos
179,800,30,2,,pysparse
180,800,30,3,0.183591127396,trilinos
181,800,30,3,,pysparse
182,800,30,4,0.148643016815,trilinos
183,800,30,4,,pysparse
184,800,30,5,0.191671133041,trilinos
185,800,30,5,,pysparse
186,800,30,6,0.171016931534,trilinos
187,800,30,6,,pysparse
188,800,30,7,0.156929016113,trilinos
189,800,30,7,,pysparse
190,800,30,8,0.153429031372,trilinos
191,800,30,8,,pysparse
192,100,40,1,0.384087085724,trilinos
193,100,40,1,0.258938074112,pysparse
194,100,40,2,0.244292020798,trilinos
195,100,40,2,,pysparse
196,100,40,3,0.196033000946,trilinos
197,100,40,3,,pysparse
198,100,40,4,0.174777984619,trilinos
199,100,40,4,,pysparse
200,100,40,5,0.206813097,trilinos
201,100,40,5,,pysparse
202,100,40,6,0.190685987473,trilinos
203,100,40,6,,pysparse
204,100,40,7,0.18158197403,trilinos
205,100,40,7,,pysparse
206,100,40,8,0.183637857437,trilinos
207,100,40,8,,pysparse
208,200,40,1,0.478719949722,trilinos
209,200,40,1,0.441236972809,pysparse
210,200,40,2,0.31565785408,trilinos
211,200,40,2,,pysparse
212,200,40,3,0.254758119583,trilinos
213,200,40,3,,pysparse
214,200,40,4,0.228739023209,trilinos
215,200,40,4,,pysparse
216,200,40,5,0.263382911682,trilinos
217,200,40,5,,pysparse
218,200,40,6,0.244934082031,trilinos
219,200,40,6,,pysparse
220,200,40,7,0.242419958115,trilinos
221,200,40,7,,pysparse
222,200,40,8,0.250773191452,trilinos
223,200,40,8,,pysparse
224,400,40,1,0.716042041779,trilinos
225,400,40,1,0.790397882462,pysparse
226,400,40,2,0.427681922913,trilinos
227,400,40,2,,pysparse
228,400,40,3,0.354053974152,trilinos
229,400,40,3,,pysparse
230,400,40,4,0.333160161972,trilinos
231,400,40,4,,pysparse
232,400,40,5,0.379946947098,trilinos
233,400,40,5,,pysparse
234,400,40,6,0.351042985916,trilinos
235,400,40,6,,pysparse
236,400,40,7,0.362926006317,trilinos
237,400,40,7,,pysparse
238,400,40,8,0.403431892395,trilinos
239,400,40,8,,pysparse
240,800,40,1,1.09389305115,trilinos
241,800,40,1,1.03372192383,pysparse
242,800,40,2,0.660205841064,trilinos
243,800,40,2,,pysparse
244,800,40,3,0.550909996033,trilinos
245,800,40,3,,pysparse
246,800,40,4,0.520778179169,trilinos
247,800,40,4,,pysparse
248,800,40,5,0.588129997253,trilinos
249,800,40,5,,pysparse
250,800,40,6,0.560971021652,trilinos
251,800,40,6,,pysparse
252,800,40,7,0.538876056671,trilinos
253,800,40,7,,pysparse
254,800,40,8,0.589975118637,trilinos
255,800,40,8,,pysparse
256,100,50,1,0.794351100922,trilinos
257,100,50,1,0.5275349617,pysparse
258,100,50,2,0.538478136063,trilinos
259,100,50,2,,pysparse
260,100,50,3,0.46067404747,trilinos
261,100,50,3,,pysparse
262,100,50,4,0.409353971481,trilinos
263,100,50,4,,pysparse
264,100,50,5,0.468683004379,trilinos
265,100,50,5,,pysparse
266,100,50,6,0.438143014908,trilinos
267,100,50,6,,pysparse
268,100,50,7,0.43696808815,trilinos
269,100,50,7,,pysparse
270,100,50,8,0.433861970901,trilinos
271,100,50,8,,pysparse
272,200,50,1,1.00795102119,trilinos
273,200,50,1,0.886158943176,pysparse
274,200,50,2,0.688834905624,trilinos
275,200,50,2,,pysparse
276,200,50,3,0.596410036087,trilinos
277,200,50,3,,pysparse
278,200,50,4,0.552489042282,trilinos
279,200,50,4,,pysparse
280,200,50,5,0.623967885971,trilinos
281,200,50,5,,pysparse
282,200,50,6,0.586754798889,trilinos
283,200,50,6,,pysparse
284,200,50,7,0.58686709404,trilinos
285,200,50,7,,pysparse
286,200,50,8,0.58824801445,trilinos
287,200,50,8,,pysparse
288,400,50,1,1.46786499023,trilinos
289,400,50,1,1.55657792091,pysparse
290,400,50,2,1.02594709396,trilinos
291,400,50,2,,pysparse
292,400,50,3,0.892993927002,trilinos
293,400,50,3,,pysparse
294,400,50,4,0.847158193588,trilinos
295,400,50,4,,pysparse
296,400,50,5,0.93164396286,trilinos
297,400,50,5,,pysparse
298,400,50,6,0.91628909111,trilinos
299,400,50,6,,pysparse
300,400,50,7,0.902826070786,trilinos
301,400,50,7,,pysparse
302,400,50,8,0.957059144974,trilinos
303,400,50,8,,pysparse
304,800,50,1,2.20912790298,trilinos
305,800,50,1,2.46442985535,pysparse
306,800,50,2,1.62979102135,trilinos
307,800,50,2,,pysparse
308,800,50,3,1.47574687004,trilinos
309,800,50,3,,pysparse
310,800,50,4,1.41116809845,trilinos
311,800,50,4,,pysparse
312,800,50,5,1.54256486893,trilinos
313,800,50,5,,pysparse
314,800,50,6,1.479596138,trilinos
315,800,50,6,,pysparse
316,800,50,7,1.47564601898,trilinos
317,800,50,7,,pysparse
318,800,50,8,1.5327630043,trilinos
319,800,50,8,,pysparse
320,100,60,1,1.38104295731,trilinos
321,100,60,1,0.917199134827,pysparse
322,100,60,2,0.941460132599,trilinos
323,100,60,2,,pysparse
324,100,60,3,0.802317142487,trilinos
325,100,60,3,,pysparse
326,100,60,4,0.73361992836,trilinos
327,100,60,4,,pysparse
328,100,60,5,0.825943946838,trilinos
329,100,60,5,,pysparse
330,100,60,6,0.766080856323,trilinos
331,100,60,6,,pysparse
332,100,60,7,0.736037969589,trilinos
333,100,60,7,,pysparse
334,100,60,8,0.755292892456,trilinos
335,100,60,8,,pysparse
336,200,60,1,1.77854204178,trilinos
337,200,60,1,1.50244808197,pysparse
338,200,60,2,1.22779393196,trilinos
339,200,60,2,,pysparse
340,200,60,3,1.08751678467,trilinos
341,200,60,3,,pysparse
342,200,60,4,1.00669002533,trilinos
343,200,60,4,,pysparse
344,200,60,5,1.1096868515,trilinos
345,200,60,5,,pysparse
346,200,60,6,1.04598593712,trilinos
347,200,60,6,,pysparse
348,200,60,7,1.01417613029,trilinos
349,200,60,7,,pysparse
350,200,60,8,1.05063819885,trilinos
351,200,60,8,,pysparse
352,400,60,1,2.45957398415,trilinos
353,400,60,1,2.72804284096,pysparse
354,400,60,2,1.84831190109,trilinos
355,400,60,2,,pysparse
356,400,60,3,1.6909840107,trilinos
357,400,60,3,,pysparse
358,400,60,4,1.53887104988,trilinos
359,400,60,4,,pysparse
360,400,60,5,1.69458413124,trilinos
361,400,60,5,,pysparse
362,400,60,6,1.67138600349,trilinos
363,400,60,6,,pysparse
364,400,60,7,1.81071710587,trilinos
365,400,60,7,,pysparse
366,400,60,8,1.9362950325,trilinos
367,400,60,8,,pysparse
368,800,60,1,3.83454108238,trilinos
369,800,60,1,4.85688400269,pysparse
370,800,60,2,2.85090708733,trilinos
371,800,60,2,,pysparse
372,800,60,3,2.61725521088,trilinos
373,800,60,3,,pysparse
374,800,60,4,2.78304600716,trilinos
375,800,60,4,,pysparse
376,800,60,5,2.69037389755,trilinos
377,800,60,5,,pysparse
378,800,60,6,2.8267929554,trilinos
379,800,60,6,,pysparse
380,800,60,7,2.91500306129,trilinos
381,800,60,7,,pysparse
382,800,60,8,2.75452709198,trilinos
383,800,60,8,,pysparse
384,100,70,1,2.24590492249,trilinos
385,100,70,1,1.4919219017,pysparse
386,100,70,2,1.5573720932,trilinos
387,100,70,2,,pysparse
388,100,70,3,1.32376694679,trilinos
389,100,70,3,,pysparse
390,100,70,4,1.18997097015,trilinos
391,100,70,4,,pysparse
392,100,70,5,1.35009908676,trilinos
393,100,70,5,,pysparse
394,100,70,6,1.23757314682,trilinos
395,100,70,6,,pysparse
396,100,70,7,1.20080184937,trilinos
397,100,70,7,,pysparse
398,100,70,8,1.39071512222,trilinos
399,100,70,8,,pysparse
400,200,70,1,3.09703803062,trilinos
401,200,70,1,2.6329369545,pysparse
402,200,70,2,2.065969944,trilinos
403,200,70,2,,pysparse
404,200,70,3,1.76047515869,trilinos
405,200,70,3,,pysparse
406,200,70,4,1.62236809731,trilinos
407,200,70,4,,pysparse
408,200,70,5,1.80825400352,trilinos
409,200,70,5,,pysparse
410,200,70,6,1.69462990761,trilinos
411,200,70,6,,pysparse
412,200,70,7,1.64605998993,trilinos
413,200,70,7,,pysparse
414,200,70,8,1.69174218178,trilinos
415,200,70,8,,pysparse
416,400,70,1,4.0838868618,trilinos
417,400,70,1,4.38475513458,pysparse
418,400,70,2,2.94137907028,trilinos
419,400,70,2,,pysparse
420,400,70,3,2.67554712296,trilinos
421,400,70,3,,pysparse
422,400,70,4,2.51544308662,trilinos
423,400,70,4,,pysparse
424,400,70,5,2.7551419735,trilinos
425,400,70,5,,pysparse
426,400,70,6,2.60662794113,trilinos
427,400,70,6,,pysparse
428,400,70,7,2.56430506706,trilinos
429,400,70,7,,pysparse
430,400,70,8,2.63205099106,trilinos
431,400,70,8,,pysparse
432,800,70,1,6.42937898636,trilinos
433,800,70,1,8.2348279953,pysparse
434,800,70,2,4.87422394753,trilinos
435,800,70,2,,pysparse
436,800,70,3,4.47751092911,trilinos
437,800,70,3,,pysparse
438,800,70,4,4.33478498459,trilinos
439,800,70,4,,pysparse
440,800,70,5,4.61206007004,trilinos
441,800,70,5,,pysparse
442,800,70,6,4.39750409126,trilinos
443,800,70,6,,pysparse
444,800,70,7,4.43343186378,trilinos
445,800,70,7,,pysparse
446,800,70,8,4.5957660675,trilinos
447,800,70,8,,pysparse
448,100,80,1,3.51665997505,trilinos
449,100,80,1,2.38531708717,pysparse
450,100,80,2,2.37340092659,trilinos
451,100,80,2,,pysparse
452,100,80,3,2.06356215477,trilinos
453,100,80,3,,pysparse
454,100,80,4,2.10231804848,trilinos
455,100,80,4,,pysparse
456,100,80,5,2.00134515762,trilinos
457,100,80,5,,pysparse
458,100,80,6,1.81622505188,trilinos
459,100,80,6,,pysparse
460,100,80,7,1.73879814148,trilinos
461,100,80,7,,pysparse
462,100,80,8,1.78326487541,trilinos
463,100,80,8,,pysparse
464,200,80,1,4.26837611198,trilinos
465,200,80,1,3.69199800491,pysparse
466,200,80,2,2.98428797722,trilinos
467,200,80,2,,pysparse
468,200,80,3,2.58738613129,trilinos
469,200,80,3,,pysparse
470,200,80,4,2.41510605812,trilinos
471,200,80,4,,pysparse
472,200,80,5,2.67398190498,trilinos
473,200,80,5,,pysparse
474,200,80,6,2.4791200161,trilinos
475,200,80,6,,pysparse
476,200,80,7,2.45331501961,trilinos
477,200,80,7,,pysparse
478,200,80,8,2.51737594604,trilinos
479,200,80,8,,pysparse
480,400,80,1,6.00402998924,trilinos
481,400,80,1,6.51789212227,pysparse
482,400,80,2,4.41525411606,trilinos
483,400,80,2,,pysparse
484,400,80,3,3.95748496056,trilinos
485,400,80,3,,pysparse
486,400,80,4,3.77170395851,trilinos
487,400,80,4,,pysparse
488,400,80,5,3.99198293686,trilinos
489,400,80,5,,pysparse
490,400,80,6,3.73118901253,trilinos
491,400,80,6,,pysparse
492,400,80,7,3.70692586899,trilinos
493,400,80,7,,pysparse
494,400,80,8,3.8892660141,trilinos
495,400,80,8,,pysparse
496,800,80,1,9.29299497604,trilinos
497,800,80,1,12.017236948,pysparse
498,800,80,2,7.07127904892,trilinos
499,800,80,2,,pysparse
500,800,80,3,6.54295396805,trilinos
501,800,80,3,,pysparse
502,800,80,4,6.32168197632,trilinos
503,800,80,4,,pysparse
504,800,80,5,6.70146489143,trilinos
505,800,80,5,,pysparse
506,800,80,6,6.35722613335,trilinos
507,800,80,6,,pysparse
508,800,80,7,6.44154405594,trilinos
509,800,80,7,,pysparse
510,800,80,8,6.78717184067,trilinos
511,800,80,8,,pysparse
